	id	title	menu_name	menu_type	menu_price
0	0	블루보틀 성수 카페	지브랄타	1	5900
1	0	블루보틀 성수 카페	블렌드 (드립)	1	5400
2	0	블루보틀 성수 카페	싱글 오리진 (드립)	1	6500
3	0	블루보틀 성수 카페	뉴 올리언스	1	6200
4	0	블루보틀 성수 카페	놀라 플로트	1	7500
5	0	블루보틀 성수 카페	리에주와플	1	6300
6	0	블루보틀 성수 카페	프랄린 초코 호떡	1	5900
7	0	블루보틀 성수 카페	에스프레소	0	5000
8	0	블루보틀 성수 카페	아메리카노	0	5200
9	0	블루보틀 성수 카페	마키아토	0	5500
10	0	블루보틀 성수 카페	카푸치노	0	6100
11	0	블루보틀 성수 카페	라떼	0	6400
12	0	블루보틀 성수 카페	모카	0	6800
13	0	블루보틀 성수 카페	콜드 브루	0	5800
14	0	블루보틀 성수 카페	커피 아이스크림	0	4600
15	0	블루보틀 성수 카페	레몬티	0	5000
16	0	블루보틀 성수 카페	레몬 유자 피즈	0	5000
17	0	블루보틀 성수 카페	딸기 피즈	0	5500
18	0	블루보틀 성수 카페	초콜릿 우유	0	6600
19	0	블루보틀 성수 카페	호지차 카푸치노	0	5500
20	0	블루보틀 성수 카페	블렌드 원두	0	25000
21	0	블루보틀 성수 카페	싱글 오리진 원두	0	35000
22	0	블루보틀 성수 카페	블렌드박스	0	35000
23	0	블루보틀 성수 카페	커피아이스크림	0	4600
24	1	소문난성수감자탕	감자국식사	0	9000
25	1	소문난성수감자탕	감자탕 (소)	0	26000
26	1	소문난성수감자탕	감자탕 (중)	0	30000
27	1	소문난성수감자탕	감자탕 (대)	0	40000
28	1	소문난성수감자탕	뼈추가	0	10000
29	1	소문난성수감자탕	포장 (1인분)	0	11000
30	1	소문난성수감자탕	포장 대	0	40000
31	2	밀도 성수점	담백식빵	1	7300
32	2	밀도 성수점	리치식빵	1	7500
33	2	밀도 성수점	허니러스크	1	4000
34	2	밀도 성수점	초코허니러스크	1	4500
35	2	밀도 성수점	큐브 커스터드	1	4000
36	2	밀도 성수점	딸기잼	1	9000
37	2	밀도 성수점	리치에감자 미니식빵	0	6200
38	2	밀도 성수점	마롱미니식빵	0	6800
39	2	밀도 성수점	큐브팥앙금	0	3600
40	2	밀도 성수점	큐브시나몬	0	3600
41	2	밀도 성수점	큐브 소보로	0	3600
42	2	밀도 성수점	큐브 미니	0	2800
43	2	밀도 성수점	[NEW] 큐브 치즈	0	3600
44	2	밀도 성수점	플레인스콘	0	2800
45	2	밀도 성수점	녹차스콘	0	3200
46	2	밀도 성수점	단호박스콘	0	3200
47	2	밀도 성수점	호두스콘	0	3200
48	2	밀도 성수점	호밀스콘	0	3200
49	2	밀도 성수점	초코스콘	0	3200
50	2	밀도 성수점	레몬스콘	0	3400
51	2	밀도 성수점	시나몬러스크	0	7000
52	2	밀도 성수점	바질러스크	0	7000
53	2	밀도 성수점	허니갈릭러스크	0	4300
54	3	옹근달	아메리카노	0	5000
55	3	옹근달	카페라떼	0	5500
56	3	옹근달	밀크티	0	7000
57	3	옹근달	쑥라떼	0	7000
58	3	옹근달	수제에이드	0	7500
59	3	옹근달	롱블랙	0	5000
60	3	옹근달	플랫화이트	0	5500
61	3	옹근달	카시스우롱티	0	7500
62	3	옹근달	피치우롱티	0	7500
63	3	옹근달	루이보스티	0	7000
64	4	제스티살룬 성수	Zesty garlic burger	1	10300
65	4	제스티살룬 성수	Wasabi shrimp burger	1	11300
66	4	제스티살룬 성수	Truffle Shrimp Buger	0	12300
67	4	제스티살룬 성수	American cheese burger	0	9300
68	4	제스티살룬 성수	Chipotle chilli burger	0	10300
69	4	제스티살룬 성수	Basic fries	0	4300
70	4	제스티살룬 성수	Cheese fries	0	4300
71	4	제스티살룬 성수	Garlic cheese fries	0	5300
72	4	제스티살룬 성수	Jalapeno bacon fries	0	5300
73	5	카페 할아버지공장	커피	1	0
74	5	카페 할아버지공장	티	0	6000
75	5	카페 할아버지공장	에이드/칵테일	0	0
76	5	카페 할아버지공장	파스타	0	0
77	5	카페 할아버지공장	피자	0	0
78	5	카페 할아버지공장	생맥주	0	0
79	5	카페 할아버지공장	와인	0	0
80	5	카페 할아버지공장	할아버지 피자	0	25000
81	5	카페 할아버지공장	마르게리따	0	23000
82	5	카페 할아버지공장	모히또	0	10000
83	5	카페 할아버지공장	까르보나라	0	21000
84	5	카페 할아버지공장	차돌알리오	0	21000
85	6	서울앵무새	서울라떼	1	6500
86	6	서울앵무새	앵무새라떼	0	6500
87	6	서울앵무새	콜드브루-마코	0	5500
88	6	서울앵무새	콜드브루-코카티엘	0	5500
89	6	서울앵무새	디종 스트로베리 블랙티	0	7000
90	6	서울앵무새	생초콜렛라떼	0	7500
91	6	서울앵무새	몰트밀크티	0	7500
92	6	서울앵무새	시나몬롤	0	0
93	6	서울앵무새	퀸아망샌드	0	5000
94	7	노티드 성수	-1	-1	0
95	8	어니언 성수	에스프레소 (Espresso)	0	4300
96	8	어니언 성수	아메리카노 (Americano)	0	5000
97	8	어니언 성수	카페 라떼 (Cafe latte)	0	5500
98	8	어니언 성수	카푸치노 (Cappuccino)	0	5500
99	8	어니언 성수	바닐라라떼(Vanilla latte)	0	6000
100	8	어니언 성수	카페 모카 (Cafe mocha)	0	6800
101	8	어니언 성수	오틀리 라떼 (Oatly latte)	0	6500
102	8	어니언 성수	코코넛라떼(Coconut latte)	0	6500
103	8	어니언 성수	두유 라떼 (Soy latte)	0	6500
104	8	어니언 성수	그린 라이트 (smoothie)	0	8000
105	8	어니언 성수	핫/아이스 초콜렛	0	6800
106	8	어니언 성수	밤라떼 (Chestnut latte)	0	6500
107	8	어니언 성수	차이 밀크티 (milk tea)	0	7000
108	8	어니언 성수	차 (Tea)	0	6500
109	9	성수족발	족발 (특대)	0	50000
110	9	성수족발	족발 (대)	0	45000
111	9	성수족발	족발 (중)	0	40000
112	9	성수족발	소주	0	5000
113	9	성수족발	맥주	0	5000
114	9	성수족발	클라우드 드래프트	0	5000
115	9	성수족발	막걸리	0	4000
116	9	성수족발	청하	0	5000
117	9	성수족발	백세주	0	8000
118	9	성수족발	음료수	0	2000
119	9	성수족발	공기밥	0	1000
120	10	호호식당 성수	-1	-1	0
121	11	난포	곰국	1	14000
122	11	난포	제철회묵은지말이	1	11000
123	11	난포	강된장쌈밥	1	10000
124	11	난포	전복들깨국수	1	16000
125	11	난포	새우감자전	0	18000
126	11	난포	돌문어간장국수	0	13000
127	11	난포	제철 회국수	0	13000
128	11	난포	문어숙회	0	25000
129	11	난포	한우수육	0	38000
130	12	마를리	아메리카노	0	5000
131	12	마를리	카페라떼	0	6000
132	12	마를리	더치커피	0	5500
133	12	마를리	아인슈페너	0	6000
134	12	마를리	자몽에이드(페리에)	0	7500
135	12	마를리	아보카도 사과주스	0	7500
136	12	마를리	플레인스콘	0	3000
137	13	마를리	아메리카노	0	5000
138	13	마를리	카페라떼	0	6000
139	13	마를리	더치커피	0	5500
140	13	마를리	아인슈페너	0	6000
141	13	마를리	자몽에이드(페리에)	0	7500
142	13	마를리	아보카도 사과주스	0	7500
143	13	마를리	플레인스콘	0	3000
144	14	스웨덴피크닉 서울숲	스웨덴플레이트	1	25000
145	14	스웨덴피크닉 서울숲	서울숲 돼지고기 김치볶음밥	1	14000
146	14	스웨덴피크닉 서울숲	소고기 짜장 떡볶이	1	14000
147	14	스웨덴피크닉 서울숲	내추럴 와인(glass)	0	12000
148	14	스웨덴피크닉 서울숲	피크닉 편백찜	0	35000
149	14	스웨덴피크닉 서울숲	스톡홀름 미트볼 그라탕	0	17000
150	14	스웨덴피크닉 서울숲	새우 스카겐로라 샌드위치	0	13000
151	14	스웨덴피크닉 서울숲	브라운 치즈 아이스크림 프렌치 토스트	0	16000
152	14	스웨덴피크닉 서울숲	구워먹는 치즈	0	14000
153	14	스웨덴피크닉 서울숲	양배추 스테이크 샐러드	0	10000
154	14	스웨덴피크닉 서울숲	새우 채소 볶음밥	0	14000
155	15	성수다락	-1	-1	0
156	16	멜로워 성수 더 플래그쉽	아메리카노	0	5000
157	16	멜로워 성수 더 플래그쉽	카페라떼	0	5500
158	16	멜로워 성수 더 플래그쉽	바닐라빈라떼	0	6500
159	16	멜로워 성수 더 플래그쉽	아인슈페너	0	7000
160	16	멜로워 성수 더 플래그쉽	아포가토	0	7000
161	16	멜로워 성수 더 플래그쉽	밀크티No.5	0	6500
162	16	멜로워 성수 더 플래그쉽	너티초코	0	6500
163	16	멜로워 성수 더 플래그쉽	자몽브레서	0	6500
164	16	멜로워 성수 더 플래그쉽	F.L.G 스파클링	0	6500
165	16	멜로워 성수 더 플래그쉽	생딸기멜로디	0	7000
166	16	멜로워 성수 더 플래그쉽	생망고멜로디	0	7000
167	16	멜로워 성수 더 플래그쉽	생초코멜로디	0	7000
168	16	멜로워 성수 더 플래그쉽	레몬글라세마들렌	0	3500
169	16	멜로워 성수 더 플래그쉽	캐러멜피칸마들렌	0	3500
170	16	멜로워 성수 더 플래그쉽	사과스콘	0	3800
171	16	멜로워 성수 더 플래그쉽	라즈베리스콘	0	3800
172	16	멜로워 성수 더 플래그쉽	당근케이크	0	6300
173	17	비사벌 전주 콩나물 국밥	콩나물국밥	0	9000
174	17	비사벌 전주 콩나물 국밥	모주	0	2000
175	18	노티드 성수피치스	우유 생크림 도넛	0	3500
176	18	노티드 성수피치스	클래식 바닐라 도넛	0	3000
177	18	노티드 성수피치스	얼그레이 도넛	0	3000
178	18	노티드 성수피치스	초코푸딩 도넛	0	3500
179	18	노티드 성수피치스	라즈베리 도넛	0	3000
180	18	노티드 성수피치스	카야버터 도넛	0	3500
181	18	노티드 성수피치스	레몬슈가 도넛	0	3500
182	18	노티드 성수피치스	민트초코 도넛	0	3500
183	18	노티드 성수피치스	스트로베리 크림 도넛	0	3800
184	18	노티드 성수피치스	러브 오! 베어 도넛	0	4500
185	18	노티드 성수피치스	바또피치 도넛	0	3500
186	18	노티드 성수피치스	타이어 도넛	0	4000
187	18	노티드 성수피치스	화이트 브라우니	0	5200
188	18	노티드 성수피치스	다크 피칸 브라우니	0	5200
